blinded_document_id,doc_key,subtheme_id,side,condition,fg,canonical_replication_index,original_status,rep1_verdict_after_gate,rep2_verdict_after_gate,rep1_gate,rep2_gate,auditor_verdict,repetitions_agree,final_label,label_reason,control_outcome,union_speakers,intersection_speakers
DOC_044D944A54,human::fg3,B.1,human,human,fg3,,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,UNCERTAIN,,,AUDITOR_UNRESOLVED,False,ABSENCE_UNRESOLVED,repetitions disagreed or were undecided,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,A.2,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,A.3,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,B.1,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,B.2,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,UNCERTAIN,UNCERTAIN,,,AUDITOR_UNRESOLVED,True,ABSENCE_UNRESOLVED,repetitions disagreed or were undecided,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,B.3,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,B.4,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,C.1,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,C.2,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,C.3,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_0D65F24445,macho_meals_fg3_demoonly_run03,D,synthetic,demographics-only,fg3,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
DOC_106A064A5F,macho_meals_fg2_demoonly_run03,A.2,synthetic,demographics-only,fg2,3,ORIGINAL_GEMINI_ABSENCE,NO_EVIDENCE_FOUND,NO_EVIDENCE_FOUND,,,AUDITOR_DID_NOT_FIND_EVIDENCE,True,AUDITOR_DID_NOT_FIND_EVIDENCE,repeated non-detection; corroboration forbidden under PROCEED_DETECTION_ONLY,,,
