question,f1_theme_key,cluster_id,is_new_cluster,is_uncertain
1,F1T_8C55DA704FA2,C13,False,False
1,F1T_DB79D5AC4209,C7,False,False
1,F1T_0807C1E4D4EF,C7,False,False
1,F1T_29DE91BF39C7,NEW_CLUSTER,True,False
1,F1T_BE26DC1F3746,C1,False,False
1,F1T_A8236443793D,NEW_CLUSTER,True,False
1,F1T_6E537804C993,C1,False,False
1,F1T_8C7C7C02D675,NEW_CLUSTER,True,False
1,F1T_335332FE47C6,C1,False,False
1,F1T_5783C21EA2BD,NEW_CLUSTER,True,False
1,F1T_B9B227332A2C,C8,False,False
1,F1T_D59DC63648FB,C9,False,False
1,F1T_A6D061AB2CC8,NEW_CLUSTER,True,False
1,F1T_33EE163C5181,C1,False,False
1,F1T_88D40368A3F7,NEW_CLUSTER,True,False
1,F1T_2A50FD4505D0,C15,False,False
1,F1T_614C99723508,NEW_CLUSTER,True,False
1,F1T_DA9358AB5689,C11,False,False
1,F1T_BE27304DC5C8,C12,False,False
1,F1T_441D3C86A3A9,C11,False,False
1,F1T_2D1F2ECA5D95,NEW_CLUSTER,True,False
1,F1T_7CE39C1D272C,C13,False,False
1,F1T_E0643FFC953B,C1,False,False
1,F1T_28102267CDB6,NEW_CLUSTER,True,False
1,F1T_6C747E4A2190,C18,False,False
2,F1T_5103B1E0E781,C18,False,False
2,F1T_00DB9C57DF22,NEW_CLUSTER,True,False
2,F1T_74A4A8F9188F,C10,False,False
2,F1T_3BB523CC128F,NEW_CLUSTER,True,False
2,F1T_DA8CB6BA816E,C17,False,False
2,F1T_3203410B923D,NEW_CLUSTER,True,False
2,F1T_87EBFC599051,C5,False,False
2,F1T_FE7A14010733,C1,False,False
2,F1T_2B2ADF77E06A,C17,False,False
2,F1T_E760B7ECA830,NEW_CLUSTER,True,False
2,F1T_F66CC497F60D,C16,False,False
2,F1T_4BFD305B9F24,C8,False,False
2,F1T_483377208890,C1,False,False
2,F1T_E3F5E0B34919,NEW_CLUSTER,True,False
2,F1T_6724B36406AB,C13,False,False
2,F1T_742443C3335B,NEW_CLUSTER,True,False
2,F1T_45479842C58E,C9,False,False
2,F1T_7CB467F7C375,C3,False,False
2,F1T_A35A1A08A2D2,NEW_CLUSTER,True,False
2,F1T_FAE2057FF651,C13,False,False
2,F1T_FE607B847D47,NEW_CLUSTER,True,False
2,F1T_2EB596B84BC1,NEW_CLUSTER,True,False
3,F1T_E4562CDB1672,NEW_CLUSTER,True,False
3,F1T_2D7D267BFE53,NEW_CLUSTER,True,False
3,F1T_F48BD1873435,C2,False,False
3,F1T_FFA1638E2865,NEW_CLUSTER,True,False
3,F1T_B173DC5364C4,C2,False,False
3,F1T_3BBC59A26D0E,C10,False,False
3,F1T_A7E9A78DC82D,C7,False,False
3,F1T_B51CE823D9A9,C2,False,False
3,F1T_1A402A5777C7,C9,False,False
3,F1T_96A9BDA6A44E,NEW_CLUSTER,True,False
3,F1T_8928D08C12B0,NEW_CLUSTER,True,False
3,F1T_6136698A5F7A,NEW_CLUSTER,True,False
3,F1T_F619F8E04515,NEW_CLUSTER,True,False
3,F1T_C98641E3FE9C,C2,False,False
3,F1T_04773B7A3D80,C1,False,False
3,F1T_0E55761168F0,C5,False,False
3,F1T_8FBDAB5FC15C,NEW_CLUSTER,True,False
3,F1T_EEA289749F71,C9,False,False
3,F1T_634D07246DFD,C1,False,False
3,F1T_CD7825D57BFB,C11,False,False
3,F1T_20C662D8CD28,C12,False,False
3,F1T_1BCA43D799B7,C3,False,False
